"","Quercus_CA","Quercus_MX","Quercus_MX_stellatae","roburoids_albae","mac_bic","mac_bic_lob"
"refRAD.ref_glauca_raxml.bt080",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt081",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt082",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt083",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt084",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt085",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt086",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt087",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt088",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt089",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt090",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt091",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt092",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt093",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt094",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt095",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt096",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt097",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt098",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt099",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_glauca_raxml.bt100",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
